4.665695	4.665695
6.57971	6.57971
7.768652	7.768652
9.615114	9.615114
12.105586	12.105586
14.573541	14.573541
16.442521	16.442521
17.559405	17.559405
19.410371	19.410371
21.89634	21.89634
24.418337	24.418337
26.264799	26.264799
27.462748	27.462748
29.376763	29.376763
32.01135	32.01135
32.619331	32.619331
33.83079	33.83079
35.078278	35.078278
36.26722	36.26722
38.145207	38.145207
40.658197	40.658197
43.184698	43.184698
45.067188	45.067188
46.25613	46.25613
48.170146	48.170146
50.728171	50.728171
52.610662	52.610662
53.831128	53.831128
55.065106	55.065106
56.267558	56.267558
58.136538	58.136538
60.041546	60.041546
61.243999	61.243999
63.135497	63.135497
66.247461	66.247461
3.99016	3.99016
6.921981	6.921981
9.029651	9.029651
11.479591	11.479591
13.965559	13.965559
16.74426	16.74426
18.793382	18.793382
21.26584	21.26584
23.783334	23.783334
26.602566	26.602566
28.723746	28.723746
32.957098	32.957098
35.416046	35.416046
37.519211	37.519211
40.023194	40.023194
42.536184	42.536184
45.404956	45.404956
47.548653	47.548653
50.070651	50.070651
52.984458	52.984458
55.429895	55.429895
57.510542	57.510542
60.37481	60.37481
62.536522	62.536522
65.045009	65.045009
66.247461	66.247461
